,ip,date,time,cik,accession,extention
107,165.124.130.jhd,2017-06-30,00:00:00,889409.0,0000950128-00-000105,.txt
108,165.124.130.jhd,2017-06-30,00:00:00,1143548.0,0001077048-03-000078,.txt
109,165.124.130.jhd,2017-06-30,00:00:00,882835.0,0001209191-06-014527,.txt
110,165.124.130.jhd,2017-06-30,00:00:00,889409.0,0000889409-00-000002,.txt
111,165.124.130.jhd,2017-06-30,00:00:00,1016395.0,0000950147-03-000465,.txt
112,165.124.130.jhd,2017-06-30,00:00:00,882835.0,0001209191-06-014532,.txt
113,165.124.130.jhd,2017-06-30,00:00:00,889409.0,0000354204-00-000465,.txt
114,165.124.130.jhd,2017-06-30,00:00:00,1016395.0,9999999997-03-018159,.txt
115,165.124.130.jhd,2017-06-30,00:00:00,804979.0,0000804979-00-000002,.txt
116,165.124.130.jhd,2017-06-30,00:00:00,1009866.0,0000949308-00-000020,.txt
117,165.124.130.jhd,2017-06-30,00:00:00,882835.0,0001209191-06-014538,.txt
118,18.85.22.afh,2017-06-30,00:00:00,1267813.0,0001047469-14-006599,-index.htm
119,185.25.32.fdh,2017-06-30,00:00:00,1105184.0,0001209191-12-033035,xslF345X03/c29042_4x0.xml
120,185.25.32.fgi,2017-06-30,00:00:00,879407.0,0001181431-14-006089,xslF345X01/rrd402026.xml
121,188.163.72.idh,2017-06-30,00:00:00,1028394.0,0000926274-05-000126,-index.htm
122,188.163.72.idh,2017-06-30,00:00:00,1028394.0,0000926274-05-000131,-index.htm
123,188.163.72.idh,2017-06-30,00:00:00,1028394.0,0000926274-04-000152,-index.htm
124,188.163.72.idh,2017-06-30,00:00:00,1028426.0,0001000096-97-000418,.txt
125,198.199.84.bfb,2017-06-30,00:00:00,1116463.0,0001209784-17-000052,edgar.xml
126,198.199.84.bfb,2017-06-30,00:00:00,1295391.0,0001209784-17-000052,-index.htm
127,198.199.84.bfb,2017-06-30,00:00:00,1295391.0,0001209784-17-000052,-index.htm
128,207.241.231.iah,2017-06-30,00:00:00,1025707.0,0001144204-08-047255,.txt
129,209.249.4.gjc,2017-06-30,00:00:00,1073349.0,0001193125-13-351488,.txt
130,216.244.66.bbi,2017-06-30,00:00:00,91388.0,0000091388-15-000053,sfd-20150927_pre.xml
131,216.244.66.bbi,2017-06-30,00:00:00,1210245.0,0001209191-16-154403,xslF345X03/doc4.xml
132,216.244.66.bbi,2017-06-30,00:00:00,1355128.0,0001193125-13-399962,ocz-20130831_lab.xml
133,216.244.66.bbi,2017-06-30,00:00:00,1130713.0,0001179110-15-007583,xslF345X03/edgar.xml
134,216.244.66.bbi,2017-06-30,00:00:00,836690.0,0001104659-16-097359,a16-2007_1ex31d2.htm
135,216.244.66.bbi,2017-06-30,00:00:00,836690.0,0001104659-16-097359,a16-2007_110q.htm
136,216.244.66.ddh,2017-06-30,00:00:00,39368.0,0001225208-17-002410,xslF345X03/doc4.xml
137,216.244.66.ddh,2017-06-30,00:00:00,868780.0,0001209191-16-128449,xslF345X01/doc4.xml
138,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000437,-index.htm
139,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000040545-17-000033,-index.htm
140,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000040545-17-000035,-index.htm
141,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000449,-index.htm
142,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000450,-index.htm
143,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000451,-index.htm
144,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0001231205-17-000059,-index.htm
145,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000488,-index.htm
146,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000489,-index.htm
147,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000492,-index.htm
148,34.226.172.ebg,2017-06-30,00:00:00,40545.0,0000947871-17-000493,-index.htm
149,35.161.75.beg,2017-06-30,00:00:00,875159.0,0001571049-17-006349,t1702029_8k.htm
150,35.161.75.beg,2017-06-30,00:00:00,875159.0,0001571049-17-006349,t1702029_ex4-1.htm
151,35.167.212.fha,2017-06-30,00:00:00,1388496.0,0001140361-07-015506,-index.htm
152,35.167.212.fha,2017-06-30,00:00:00,1412455.0,9999999997-07-042261,-index.htm
153,38.105.116.iei,2017-06-30,00:00:00,814008.0,0000943763-97-000038,.txt
154,38.105.116.iei,2017-06-30,00:00:00,910659.0,0000930661-97-001022,.txt
155,38.105.116.iei,2017-06-30,00:00:00,910659.0,0000930661-97-001022,.txt
156,38.105.116.iei,2017-06-30,00:00:00,910659.0,0000930661-97-001326,.txt
157,38.105.116.iei,2017-06-30,00:00:00,814008.0,0000943763-97-000038,.txt
